,Unnamed: 0,City,Common_Names,Country,County,Family_x,GBReference_title,GenBank,Genus_x,Latitude,Location,Longitude,Order_x,ScientificName_x,State,Test,Virus,Virus_Confirmed,Confirmation,Virus_Family,Year,accession,referenceID,Host,MatchHost,MatchRatio,Species ID,Kingdom,Phylum,Class,Order_y,Family_y,Genus_y,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned,ScientificName_y
151,3920,,,"USA: Illinois, Cook County",,ICTERIDAE,"{u'GBReference_position': '1..1575', u'GBReference_reference': '1', u'GBReference_journal': 'Unpublished', u'GBReference_title': ""Localized evolution of West Nile Virus in a transmission 'hot spot' in suburban Chicago, USA"", u'GBReference_authors': ['Bertolotti,L.', 'Walker,E.D.', 'Brawn,J.', 'Ruiz,M.O.', 'Hamer,G.L.', 'Loss,S.', 'Kitron,U.', 'Goldberg,T.L.']}",1.0,,,,,PASSERIFORMES,Agelaius phoeniceus,,nucleotide,West Nile virus,1,1,Flaviviridae,28-Aug-05,EF631161,GenBank,Agelaius phoeniceus,Agelaius phoeniceus,100,22724191.0,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Agelaius,phoeniceus,"(Linnaeus, 1766)",,,,,,Red-winged Blackbird,,,LC,,3.1,2012.0,decreasing,N,Agelaius phoeniceus
156,985,,,Italy,,PHASIANIDAE,0,0.0,,,,,GALLIFORMES,Alectoris rufa,,RT-PCR,Usutu virus,,1,Flaviviridae,,0,ViPR,Alectoris rufa,Alectoris rufa,100,22678711.0,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,rufa,"(Linnaeus, 1758)",,,,,,Red-legged Partridge,,,LC,,3.1,2012.0,decreasing,N,Alectoris rufa
157,3203,,,Italy,,PHASIANIDAE,"{u'GBReference_position': '1..411', u'GBReference_reference': '1', u'GBReference_authors': ['Calzolari,M.', 'Gaibani,P.', 'Bellini,R.', 'Defilippo,F.', 'Pierro,A.', 'Albieri,A.', 'Maioli,G.', 'Luppi,A.', 'Rossini,G.', 'Balzani,A.', 'Tamba,M.', 'Galletti,G.', 'Gelati,A.', 'Carrieri,M.', 'Poglayen,G.', 'Cavrini,F.', 'Natalini,S.', 'Dottori,M.', 'Sambri,V.', 'Angelini,P.', 'Bonilauri,P.'], u'GBReference_journal': 'PLoS ONE 7 (5), E38058 (2012)', u'GBReference_pubmed': '22666446', u'GBReference_xref': [{u'GBXref_id': '10.1371/journal.pone.0038058', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Mosquito, bird and human surveillance of West Nile and Usutu viruses in Emilia-Romagna Region (Italy) in 2010', u'GBReference_remark': 'Publication Status: Online-Only'}",1.0,,,,,GALLIFORMES,Alectoris rufa,,nucleotide,Usutu virus,1,1,Flaviviridae,21-Aug-10,JF834660,GenBank,Alectoris rufa,Alectoris rufa,100,22678711.0,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Alectoris,rufa,"(Linnaeus, 1758)",,,,,,Red-legged Partridge,,,LC,,3.1,2012.0,decreasing,N,Alectoris rufa
183,595,,Unidentified howler monkey,Brazil,,ATELIDAE,0,0.0,Alouatta,,,,PRIMATE,Alouatta sp,São Paulo,RT-PCR,St. Louis Encephalitis virus,1,1,Flaviviridae,,0,113-ES-2,Alouatta sp,Alouatta sp,Unidentified,,ANIMALIA,CHORDATA,MAMMALIA,PRIMATE,ATELIDAE,Alouatta ,sp,,,,,,,,,,,,,,,,
184,4069,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010347,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
185,4070,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010346,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
186,4071,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010345,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
187,4072,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010344,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
188,4073,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010343,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
189,4075,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010341,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
190,4078,,,"USA: Suffolk Couunty, NY",,CORVIDAE,"{u'GBReference_position': '1..1931', u'GBReference_reference': '1', u'GBReference_authors': ['Jerzak,G.', 'Bernard,K.A.', 'Kramer,L.D.', 'Ebel,G.D.'], u'GBReference_journal': 'J. Gen. Virol. 86 (PT 8), 2175-2183 (2005)', u'GBReference_pubmed': '16033965', u'GBReference_xref': [{u'GBXref_id': '10.1099/vir.0.81015-0', u'GBXref_dbname': 'doi'}], u'GBReference_title': 'Genetic variation in West Nile virus from naturally infected mosquitoes and birds suggests quasispecies structure and strong purifying selection'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,DQ010338,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
191,4096,,,USA,,CORVIDAE,"{u'GBReference_position': '1..1503', u'GBReference_reference': '1', u'GBReference_authors': ['Ebel,G.D.', 'Carricaburu,J.', 'Young,D.', 'Bernard,K.A.', 'Kramer,L.D.'], u'GBReference_journal': 'Am. J. Trop. Med. Hyg. 71 (4), 493-500 (2004)', u'GBReference_pubmed': '15516648', u'GBReference_title': 'Genetic and phenotypic variation of West Nile virus in New York, 2000-2003'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,AY590229,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
192,4097,,,USA,,CORVIDAE,"{u'GBReference_position': '1..1503', u'GBReference_reference': '1', u'GBReference_authors': ['Ebel,G.D.', 'Carricaburu,J.', 'Young,D.', 'Bernard,K.A.', 'Kramer,L.D.'], u'GBReference_journal': 'Am. J. Trop. Med. Hyg. 71 (4), 493-500 (2004)', u'GBReference_pubmed': '15516648', u'GBReference_title': 'Genetic and phenotypic variation of West Nile virus in New York, 2000-2003'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,AY590228,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
193,4098,,,USA,,CORVIDAE,"{u'GBReference_position': '1..1503', u'GBReference_reference': '1', u'GBReference_authors': ['Ebel,G.D.', 'Carricaburu,J.', 'Young,D.', 'Bernard,K.A.', 'Kramer,L.D.'], u'GBReference_journal': 'Am. J. Trop. Med. Hyg. 71 (4), 493-500 (2004)', u'GBReference_pubmed': '15516648', u'GBReference_title': 'Genetic and phenotypic variation of West Nile virus in New York, 2000-2003'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,AY590227,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
194,4099,,,USA,,CORVIDAE,"{u'GBReference_position': '1..1503', u'GBReference_reference': '1', u'GBReference_authors': ['Ebel,G.D.', 'Carricaburu,J.', 'Young,D.', 'Bernard,K.A.', 'Kramer,L.D.'], u'GBReference_journal': 'Am. J. Trop. Med. Hyg. 71 (4), 493-500 (2004)', u'GBReference_pubmed': '15516648', u'GBReference_title': 'Genetic and phenotypic variation of West Nile virus in New York, 2000-2003'}",1.0,,,,,PASSERIFORMES,American crow,,nucleotide,West Nile virus,1,1,Flaviviridae,,AY590226,GenBank,American crow,Corvus brachyrhynchos,Edited,,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,brachyrhynchos,,,,,,,American Crow,,,,,,,,,
